"file","id_rec","group","wave","start","volt"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","1",0,"-28"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","1",0,NA
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","2",4.84,"4019"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","1",115.32,"-11"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","2",163.54,"844"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","1",184.09,"-22"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","2",227.76,"4183"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","1",900.84,"-20"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","2",960.94,"1803"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","1",1760.74,"0"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","2",1814.72,"2742"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","4",2587.67,"-2009"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","2",2738.38,"593"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","4",3110.7,"-2192"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","2",3212.26,"1135"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","4",3414.35,"-2239"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","2",3504.53,"619"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Riv_SA/8_syst3_psfRivera-ch4_.ANA",1,"Riv_SA","1",3769.76,"-23"
